retail_prices,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
   Austria,10.816777041942604,10.08830022075055,11.015452538631346,10.971302428256068,10.110375275938189,11.434878587196465,11.964679911699777,9.64679911699779,8.763796909492273,7.240618101545253,6.732891832229579,6.467991169977925,6.313465783664458,7.019867549668874,7.350993377483443,8.322295805739513,9.11699779249448,9.42604856512141,10.463576158940397,15.342163355408386,14.7682119205298,18.366445916114788,18.498896247240616,19.028697571743926,19.050772626931565,16.423841059602648,12.450331125827812,13.730684326710815,14.635761589403971
   Cyprus,6.247240618101545,6.18101545253863,6.335540838852096,5.739514348785871,7.019867549668874,9.403973509933772,9.11699779249448,8.918322295805739,10.176600441501103,9.690949227373066,7.9028697571743916,7.9028697571743916,8.940397350993376,10.86092715231788,11.545253863134658,11.655629139072847,11.788079470198673,12.715231788079468,12.516556291390726,12.207505518763796,11.50110375275938,13.377483443708606,14.039735099337747,14.282560706401764,14.304635761589402,11.699779249448122,11.699779249448122,12.141280353200882,12.781456953642381
   Denmark,8.410596026490065,8.101545253863133,8.36644591611479,7.682119205298012,9.823399558498895,12.295805739514348,10.618101545253861,10.949227373068432,10.86092715231788,8.67549668874172,7.615894039735099,7.041942604856511,6.821192052980131,7.880794701986753,8.741721854304634,9.44812362030905,9.779249448123618,10.6401766004415,11.920529801324502,11.677704194260484,12.008830022075054,15.275938189845473,14.834437086092713,14.039735099337747,14.194260485651212,12.913907284768209,10.905077262693156,11.103752759381898,11.699779249448122
   Finland,6.578366445916114,6.004415011037527,5.43046357615894,4.282560706401766,6.026490066225165,8.763796909492273,7.108167770419425,7.726269315673288,7.549668874172184,5.739514348785871,5.0551876379690945,4.370860927152317,4.061810154525386,4.701986754966886,5.165562913907284,6.269315673289182,6.490066225165561,7.174392935982339,8.211920529801324,7.748344370860925,8.14569536423841,11.83222958057395,10.596026490066222,9.470198675496688,9.514348785871963,8.609271523178807,8.101545253863133,9.050772626931565,9.359823399558499
   France,8.23399558498896,7.5717439293598225,5.09933774834437,4.481236203090506,5.298013245033111,8.14569536423841,7.284768211920528,6.092715231788078,6.136865342163354,5.629139072847681,4.746136865342162,4.392935982339955,4.5695364238410585,5.518763796909491,6.004415011037527,6.070640176600441,6.556291390728476,7.527593818984546,8.520971302428254,8.36644591611479,7.991169977924944,9.11699779249448,8.653421633554082,8.653421633554082,8.322295805739513,6.8653421633554075,7.1964679911699765,7.505518763796908,8.123620309050771
   Germany,8.807947019867548,8.476821192052979,8.830022075055187,7.991169977924944,9.22737306843267,11.081677704194258,9.20529801324503,8.8962472406181,8.918322295805739,7.549668874172184,6.247240618101545,5.805739514348785,6.026490066225165,7.019867549668874,7.350993377483443,8.962472406181012,9.55849889624724,10.353200883002208,11.324503311258276,10.485651214128033,10.507726269315672,11.258278145695362,10.463576158940397,12.472406181015451,12.626931567328915,11.434878587196465,11.147902869757173,11.788079470198673,12.119205298013243
   Italy,11.721854304635759,12.406181015452537,12.93598233995585,10.132450331125826,10.331125827814567,12.58278145695364,13.068432671081675,12.030905077262691,12.207505518763796,11.39072847682119,9.801324503311257,9.55849889624724,10.08830022075055,12.075055187637966,13.267108167770417,13.532008830022074,13.885209713024281,15.49668874172185,17.37306843267108,16.953642384105958,16.203090507726266,18.807947019867544,18.741721854304632,19.84547461368653,19.536423841059598,16.512141280353198,16.445916114790286,16.93156732891832,17.924944812362025
   Netherlands,6.688741721854303,6.5121412803532,6.909492273730683,6.18101545253863,7.1964679911699765,8.8962472406181,8.057395143487858,8.101545253863133,8.101545253863133,6.8653421633554075,6.203090507726269,5.629139072847681,5.739514348785871,7.06401766004415,7.660044150110375,8.278145695364238,8.741721854304634,9.823399558498895,11.147902869757173,10.375275938189844,10.08830022075055,13.200883002207505,12.869757174392934,12.671081677704192,12.604856512141279,11.876379690949225,10.529801324503309,10.662251655629138,10.331125827814567
   Portugal,9.094922737306842,9.42604856512141,10.927152317880793,9.42604856512141,9.66887417218543,13.77483443708609,13.068432671081675,11.125827814569535,10.772626931567327,10.264900662251655,8.719646799116997,8.543046357615893,8.609271523178807,10.176600441501103,10.816777041942604,10.772626931567327,10.529801324503309,11.214128035320087,12.538631346578365,11.699779249448122,10.883002207505516,11.810154525386311,12.560706401766003,12.781456953642381,12.649006622516556,11.015452538631346,10.883002207505516,11.125827814569535,11.83222958057395
   Spain,7.991169977924944,7.726269315673288,7.726269315673288,6.158940397350992,6.092715231788078,9.823399558498895,9.22737306843267,7.880794701986753,7.991169977924944,7.130242825607063,5.9381898454746125,5.6070640176600435,5.695364238410595,6.62251655629139,7.130242825607063,7.108167770419425,7.549668874172184,8.498896247240618,9.514348785871963,9.183222958057394,8.653421633554082,9.757174392935982,9.86754966887417,9.999999999999998,9.801324503311257,8.432671081677702,8.23399558498896,8.476821192052979,9.050772626931565
   Sweden,7.5717439293598225,7.262693156732891,6.8653421633554075,5.849889624724061,8.36644591611479,10.706401766004413,8.741721854304634,9.602649006622514,9.735099337748343,7.748344370860925,6.688741721854303,5.6070640176600435,5.629139072847681,6.490066225165561,6.799116997792494,6.600441501103752,6.975717439293597,7.792494481236202,8.300220750551874,7.836644591611478,8.807947019867548,12.317880794701985,11.479028697571742,9.580573951434877,9.072847682119205,8.432671081677702,7.682119205298012,7.880794701986753,7.152317880794701
United Kingdom,23.289183222958055,22.980132450331123,22.273730684326708,18.631346578366443,25.07726269315673,30.441501103752753,29.470198675496682,32.89183222958057,34.03973509933774,31.633554083885205,28.498896247240616,26.15894039735099,26.732891832229576,29.448123620309048,32.14128035320088,32.53863134657836,34.92273730684326,39.55849889624724,37.15231788079469,35.298013245033104,34.657836644591605,41.98675496688741,42.38410596026489,41.76600441501103,45.38631346578366,41.74392935982339,35.960264900662246,37.549668874172184,40.61810154525385
Japan,22.649006622516552,26.225165562913904,27.858719646799113,32.16335540838852,32.428256070640174,39.11699779249447,33.64238410596026,31.390728476821188,29.84547461368653,33.81898454746136,28.52097130242825,18.98454746136865,17.947019867549667,18.079470198675494,19.31567328918322,18.14569536423841,18.01324503311258,17.858719646799113,18.366445916114788,13.399558498896246,14.10596026490066,16.225165562913904,16.71081677704194,13.355408388520969,12.538631346578365,12.36203090507726,13.708609271523176,13.13465783664459,12.80353200883002
Norway,7.3068432671081665,6.975717439293597,6.887417218543045,5.43046357615894,7.262693156732891,10.022075055187637,8.609271523178807,9.072847682119205,8.609271523178807,7.395143487858719,6.578366445916114,6.313465783664458,6.821192052980131,7.682119205298012,8.476821192052979,9.072847682119205,8.587196467991168,9.86754966887417,10.353200883002208,8.874172185430462,9.88962472406181,12.759381898454745,12.097130242825607,11.147902869757173,16.556291390728475,12.825607064017657,12.273730684326708,12.428256070640174,12.69315673289183
