Fast-Food Chains,U.S. Systemwide Sales (Millions - U.S Dollars),Average Sales per Unit (Thousands - U.S Dollars),Franchised Stores,Company Stores,2021 Total Units,Total Change in Units from 2020
Arby’s,4462,1309,2293,1116,3409,40
Baskin-Robbins,686,296,2317,0,2317,102
Bojangles,1485,1924,496,277,773,15
Burger King,10033,1470,7054,51,7105,24
Carl’s Jr.,1560,1400,1011,47,1058,-21
Checkers/Rally’s,931,1145,568,266,834,-13
Chick-fil-A,16700,6100,2650,82,2732,155
Chipotle,7547,2641,0,2966,2966,198
Church’s Chicken,776,870,731,161,892,-13
Culver’s,2489,3099,831,6,837,55
Dairy Queen,4494,1036,4337,2,4339,-22
Del Taco,931,1551,306,294,600,4
Domino's,8641,1317,6185,375,6560,205
Dunkin',10416,1127,9244,0,9244,161
El Pollo Loco,973,2000,292,189,481,1
Firehouse Subs,1044,909,1101,39,1140,9
Five Guys,2093,3172,911,479,1390,8
Freddy’s Frozen Custard & Steakburgers,759,1842,391,29,420,32
Hardee’s,2100,1117,1536,198,1734,-32
In-N-Out Burger,1175,3200,0,370,370,5
Jack in the Box,4077,1843,2055,163,2218,-23
Jersey Mike’s,2203,1145,2087,13,2100,246
Jimmy John’s,2301,866,2616,41,2657,48
KFC,5100,1408,3906,47,3953,10
Krispy Kreme,996,4000,51,307,358,6
Little Caesars,4185,1000,3601,580,4181,-28
Marco’s Pizza,899,934,957,45,1002,48
McAlister’s Deli,869,1866,472,33,505,24
McDonald’s,45960,3420,12775,663,13438,244
Moe’s Southwest Grill,661,1073,658,1,659,-22
Panda Express,4452,2173,147,2187,2334,150
Panera Bread,5650,2700,1130,950,2080,-25
Papa Johns,3486,1147,2564,600,3164,30
Papa Murphy’s,809,643,1213,27,1240,-53
Pizza Hut,5500,1022,6526,22,6548,-13
Popeyes Louisiana Kitchen,4775,1867,2716,41,2754,146
QDOBA,835,1006,406,333,739,2
Raising Cane’s,2377,4893,23,544,567,58
Shake Shack,777,3679,25,218,243,38
Sonic Drive-In,5835,1643,3232,320,3552,26
Starbucks,24300,1200,6497,8953,15450,113
Subway,9350,438,21147,0,21147,-1043
Taco Bell,12600,1823,6540,462,7002,203
Tim Hortons,687,1200,637,0,637,4
Tropical Smoothie Cafe,948,1009,1038,1,1039,125
Wendy's,11111,1895,5535,403,5938,57
Whataburger,3089,3640,131,742,873,29
White Castle,615,1749,0,349,349,-6
Wingstop,2278,1592,1498,36,1534,175
Zaxby’s,2233,2484,761,147,908,3