Entity,Code,Year,Average annual working hours per worker
Argentina,ARG,1950,2034
Argentina,ARG,1951,2037.8667
Argentina,ARG,1952,2041.7408
Argentina,ARG,1953,2045.6223
Argentina,ARG,1954,2049.5112
Argentina,ARG,1955,2053.4075
Argentina,ARG,1956,2057.311
Argentina,ARG,1957,2061.2222
Argentina,ARG,1958,2065.1406
Argentina,ARG,1959,2069.0667
Argentina,ARG,1960,2073
Argentina,ARG,1961,2066.2004
Argentina,ARG,1962,2059.4233
Argentina,ARG,1963,2052.6685
Argentina,ARG,1964,2045.9355
Argentina,ARG,1965,2039.2249
Argentina,ARG,1966,2032.5361
Argentina,ARG,1967,2025.8694
Argentina,ARG,1968,2019.2245
Argentina,ARG,1969,2012.6013
Argentina,ARG,1970,2006
Argentina,ARG,1971,2002.6611
Argentina,ARG,1972,1999.3278
Argentina,ARG,1973,1996
Argentina,ARG,1974,1992.8422
Argentina,ARG,1975,1989.6893
Argentina,ARG,1976,1986.5415
Argentina,ARG,1977,1983.3987
Argentina,ARG,1978,1980.2609
Argentina,ARG,1979,1977.1279
Argentina,ARG,1980,1974
Argentina,ARG,1981,1961.2301
Argentina,ARG,1982,1948.5427
Argentina,ARG,1983,1935.9375
Argentina,ARG,1984,1923.4137
Argentina,ARG,1985,1910.9711
Argentina,ARG,1986,1898.6089
Argentina,ARG,1987,1886.3267
Argentina,ARG,1988,1874.1238
Argentina,ARG,1989,1862
Argentina,ARG,1990,1850
Argentina,ARG,1991,1837.9608
Argentina,ARG,1992,1826
Argentina,ARG,1993,1850.3378
Argentina,ARG,1994,1875
Argentina,ARG,1995,1881.9612
Argentina,ARG,1996,1888.9481
Argentina,ARG,1997,1895.9611
Argentina,ARG,1998,1903
Argentina,ARG,1999,1887.285
Argentina,ARG,2000,1862.1362
Argentina,ARG,2001,1811.1526
Argentina,ARG,2002,1710.0365
Argentina,ARG,2003,1713.5746
Argentina,ARG,2004,1730.8173
Argentina,ARG,2005,1761.3994
Argentina,ARG,2006,1765.6013
Argentina,ARG,2007,1780.5565
Argentina,ARG,2008,1781.4246
Argentina,ARG,2009,1742.9043
Argentina,ARG,2010,1751.7655
Argentina,ARG,2011,1750.9741
Argentina,ARG,2012,1726.2584
Argentina,ARG,2013,1714.8711
Argentina,ARG,2014,1695.364
Argentina,ARG,2015,1691.5363
Argentina,ARG,2016,1691.5363
Argentina,ARG,2017,1691.5363
Australia,AUS,1870,2792
Australia,AUS,1880,2647
Australia,AUS,1890,2501
Australia,AUS,1900,2385
Australia,AUS,1913,2214
Australia,AUS,1929,2186
Australia,AUS,1938,2109
Australia,AUS,1950,2178.2456
Australia,AUS,1951,2158.1013
Australia,AUS,1952,2138.1436
Australia,AUS,1953,2118.3701
Australia,AUS,1954,2098.7798
Australia,AUS,1955,2079.3704
Australia,AUS,1956,2060.1406
Australia,AUS,1957,2041.0886
Australia,AUS,1958,2022.2129
Australia,AUS,1959,2003.5116
Australia,AUS,1960,1984.9834
Australia,AUS,1961,1981.3214
Australia,AUS,1962,1977.6663
Australia,AUS,1963,1974.0178
Australia,AUS,1964,1970.3761
Australia,AUS,1965,1966.7411
Australia,AUS,1966,1963.1128
Australia,AUS,1967,1959.4912
Australia,AUS,1968,1955.8762
Australia,AUS,1969,1952.2679
Australia,AUS,1970,1948.6664
Australia,AUS,1971,1929.967
Australia,AUS,1972,1909.5677
Australia,AUS,1973,1896.1807
Australia,AUS,1974,1913.4988
Australia,AUS,1975,1900.218
Australia,AUS,1976,1910.6301
Australia,AUS,1977,1912.4364
Australia,AUS,1978,1913.2864
Australia,AUS,1979,1918.705
Australia,AUS,1980,1919.1102
Australia,AUS,1981,1900.6442
Australia,AUS,1982,1881.5066
Australia,AUS,1983,1869.0269
Australia,AUS,1984,1883.6864
Australia,AUS,1985,1870.23
Australia,AUS,1986,1880.6699
Australia,AUS,1987,1877.5311
Australia,AUS,1988,1874.5796
Australia,AUS,1989,1887.2697
Australia,AUS,1990,1867.9515
Australia,AUS,1991,1853.8984
Australia,AUS,1992,1851.8408
Australia,AUS,1993,1869.6207
Australia,AUS,1994,1877.7278
Australia,AUS,1995,1875.9148
Australia,AUS,1996,1868.7593
Australia,AUS,1997,1867.0762
Australia,AUS,1998,1851.2338
Australia,AUS,1999,1855.8291
Australia,AUS,2000,1854.0353
Australia,AUS,2001,1818.213
Australia,AUS,2002,1814.1021
Australia,AUS,2003,1806.7209
Australia,AUS,2004,1805.0198
Australia,AUS,2005,1803.0101
Australia,AUS,2006,1791.9933
Australia,AUS,2007,1792.6515
Australia,AUS,2008,1790.54
Australia,AUS,2009,1761.7957
Australia,AUS,2010,1769.3094
Australia,AUS,2011,1768.6494
Australia,AUS,2012,1759.5193
Australia,AUS,2013,1755.8271
Australia,AUS,2014,1747.937
Australia,AUS,2015,1747.009
Australia,AUS,2016,1734.215
Australia,AUS,2017,1731.4943
Austria,AUT,1950,2085.6694
Austria,AUT,1951,2083.0156
Austria,AUT,1952,2080.3652
Austria,AUT,1953,2077.718
Austria,AUT,1954,2075.0742
Austria,AUT,1955,2072.4338
Austria,AUT,1956,2069.7966
Austria,AUT,1957,2067.1631
Austria,AUT,1958,2064.5327
Austria,AUT,1959,2061.9058
Austria,AUT,1960,2059.282
Austria,AUT,1961,2046.6298
Austria,AUT,1962,2034.0552
Austria,AUT,1963,2021.558
Austria,AUT,1964,2009.1375
Austria,AUT,1965,1996.7932
Austria,AUT,1966,1984.5249
Austria,AUT,1967,1972.3319
Austria,AUT,1968,1960.2139
Austria,AUT,1969,1948.1703
Austria,AUT,1970,1890.1375
Austria,AUT,1971,1885.288
Austria,AUT,1972,1905.7499
Austria,AUT,1973,1900.7313
Austria,AUT,1974,1978.6625
Austria,AUT,1975,1903.9717
Austria,AUT,1976,1898.0424
Austria,AUT,1977,1904.7831
Austria,AUT,1978,1844.0676
Austria,AUT,1979,1876.6804
Austria,AUT,1980,1881.0354
Austria,AUT,1981,1819.1412
Austria,AUT,1982,1835.1189
Austria,AUT,1983,1829.9122
Austria,AUT,1984,1825.9255
Austria,AUT,1985,1821.5303
Austria,AUT,1986,1820.7109
Austria,AUT,1987,1808.7163
Austria,AUT,1988,1812.1312
Austria,AUT,1989,1825.2433
Austria,AUT,1990,1826.0298
Austria,AUT,1991,1836.4442
Austria,AUT,1992,1804.9314
Austria,AUT,1993,1802.2981
Austria,AUT,1994,1800.5381
Austria,AUT,1995,1774.4364
Austria,AUT,1996,1807.2706
Austria,AUT,1997,1815.692
Austria,AUT,1998,1794.0305
Austria,AUT,1999,1797.9713
Austria,AUT,2000,1798.4323
Austria,AUT,2001,1785.4202
Austria,AUT,2002,1782.8479
Austria,AUT,2003,1773.9779
Austria,AUT,2004,1776.4658
Austria,AUT,2005,1752.4894
Austria,AUT,2006,1735.6696
Austria,AUT,2007,1724.7792
Austria,AUT,2008,1717.1951
Austria,AUT,2009,1673.0751
Austria,AUT,2010,1665.8439
Austria,AUT,2011,1671.6877
Austria,AUT,2012,1647.8529
Austria,AUT,2013,1632.0676
Austria,AUT,2014,1621.5658
Austria,AUT,2015,1598.8944
Austria,AUT,2016,1609.3523
Austria,AUT,2017,1613.0519
Bangladesh,BGD,1970,2071.4104
Bangladesh,BGD,1971,2075.1843
Bangladesh,BGD,1972,2078.1372
Bangladesh,BGD,1973,2079.9597
Bangladesh,BGD,1974,2081.0764
Bangladesh,BGD,1975,2085.5564
Bangladesh,BGD,1976,2087.4951
Bangladesh,BGD,1977,2089.5979
Bangladesh,BGD,1978,2092.1418
Bangladesh,BGD,1979,2095.2627
Bangladesh,BGD,1980,2099.0146
Bangladesh,BGD,1981,2103.7871
Bangladesh,BGD,1982,2117.376
Bangladesh,BGD,1983,2130.7109
Bangladesh,BGD,1984,2143.5508
Bangladesh,BGD,1985,2111.8611
Bangladesh,BGD,1986,2083.7917
Bangladesh,BGD,1987,2066.4663
Bangladesh,BGD,1988,2052.2288
Bangladesh,BGD,1989,2040.8845
Bangladesh,BGD,1990,2122.0144
Bangladesh,BGD,1991,2204.1492
Bangladesh,BGD,1992,2182.9199
Bangladesh,BGD,1993,2162.833
Bangladesh,BGD,1994,2143.9639
Bangladesh,BGD,1995,2126.3477
Bangladesh,BGD,1996,2111.6362
Bangladesh,BGD,1997,2141.6018
Bangladesh,BGD,1998,2169.1011
Bangladesh,BGD,1999,2194.2813
Bangladesh,BGD,2000,2216.7761
Bangladesh,BGD,2001,2129.5923
Bangladesh,BGD,2002,2044.2791
Bangladesh,BGD,2003,1960.5166
Bangladesh,BGD,2004,2061.4739
Bangladesh,BGD,2005,2160.9841
Bangladesh,BGD,2006,2259.6313
Bangladesh,BGD,2007,2245.3359
Bangladesh,BGD,2008,2239.2898
Bangladesh,BGD,2009,2241.0042
Bangladesh,BGD,2010,2250.1528
Bangladesh,BGD,2011,2311.7678
Bangladesh,BGD,2012,2274.5391
Bangladesh,BGD,2013,2231.4285
Bangladesh,BGD,2014,2231.8721
Bangladesh,BGD,2015,2232.3542
Bangladesh,BGD,2016,2232.3542
Bangladesh,BGD,2017,2232.3542
Barbados,BRB,1991,1658.1062
Barbados,BRB,1992,1638.2186
Barbados,BRB,1993,1660.3339
Barbados,BRB,1994,1675.1111
Barbados,BRB,1995,1694.7531
Barbados,BRB,1996,1717.1149
Barbados,BRB,1997,1727.7413
Barbados,BRB,1998,1728.5961
Barbados,BRB,1999,1733.9471
Barbados,BRB,2000,1753.2524
Barbados,BRB,2001,1764.2705
Belgium,BEL,1870,3483
Belgium,BEL,1880,3344
Belgium,BEL,1890,3177
Belgium,BEL,1900,3064
Belgium,BEL,1913,2841
Belgium,BEL,1929,2229
Belgium,BEL,1938,2196
Belgium,BEL,1950,2106.1504
Belgium,BEL,1951,2095.8718
Belgium,BEL,1952,2085.6436
Belgium,BEL,1953,2075.4653
Belgium,BEL,1954,2065.3364
Belgium,BEL,1955,2055.2573
Belgium,BEL,1956,2045.2272
Belgium,BEL,1957,2035.246
Belgium,BEL,1958,2025.3136
Belgium,BEL,1959,2015.4296
Belgium,BEL,1960,2005.5939
Belgium,BEL,1961,1993.6304
Belgium,BEL,1962,1981.738
Belgium,BEL,1963,1969.9169
Belgium,BEL,1964,1958.166
Belgium,BEL,1965,1946.4854
Belgium,BEL,1966,1934.8744
Belgium,BEL,1967,1923.3326
Belgium,BEL,1968,1911.8597
Belgium,BEL,1969,1900.4553
Belgium,BEL,1970,1889.1189
Belgium,BEL,1971,1879.7579
Belgium,BEL,1972,1853.5769
Belgium,BEL,1973,1827.1119
Belgium,BEL,1974,1797.0769
Belgium,BEL,1975,1787.1979
Belgium,BEL,1976,1787.9839
Belgium,BEL,1977,1762.5139
Belgium,BEL,1978,1743.7579
Belgium,BEL,1979,1726.9879
Belgium,BEL,1980,1707.126
Belgium,BEL,1981,1683.522
Belgium,BEL,1982,1669.516
Belgium,BEL,1983,1675.5209
Belgium,BEL,1984,1699.528
Belgium,BEL,1985,1705.5309
Belgium,BEL,1986,1685.5239
Belgium,BEL,1987,1670.5179
Belgium,BEL,1988,1658.516
Belgium,BEL,1989,1649.511
Belgium,BEL,1990,1663.517
Belgium,BEL,1991,1626.5049
Belgium,BEL,1992,1603.4989
Belgium,BEL,1993,1559.4839
Belgium,BEL,1994,1559.4839
Belgium,BEL,1995,1585.4919
Belgium,BEL,1996,1559.4839
Belgium,BEL,1997,1572.4879
Belgium,BEL,1998,1583.491
Belgium,BEL,1999,1582.491
Belgium,BEL,2000,1594.8505
Belgium,BEL,2001,1588.3749
Belgium,BEL,2002,1582.7155
Belgium,BEL,2003,1577.7917
Belgium,BEL,2004,1572.9613
Belgium,BEL,2005,1565.4303
Belgium,BEL,2006,1572.2457
Belgium,BEL,2007,1576.6563
Belgium,BEL,2008,1569.9797
Belgium,BEL,2009,1548.1161
Belgium,BEL,2010,1545.848
Belgium,BEL,2011,1559.6238
Belgium,BEL,2012,1559.9052
Belgium,BEL,2013,1558.0079
Belgium,BEL,2014,1555.2025
Belgium,BEL,2015,1544.61
Belgium,BEL,2016,1545.8151
Belgium,BEL,2017,1544.269
Brazil,BRA,1950,2042
Brazil,BRA,1951,2051.0186
Brazil,BRA,1952,2060.0771
Brazil,BRA,1953,2069.1755
Brazil,BRA,1954,2078.3142
Brazil,BRA,1955,2087.4932
Brazil,BRA,1956,2096.7129
Brazil,BRA,1957,2105.9731
Brazil,BRA,1958,2115.2742
Brazil,BRA,1959,2124.6165
Brazil,BRA,1960,2134
Brazil,BRA,1961,2135.0974
Brazil,BRA,1962,2136.1956
Brazil,BRA,1963,2137.2939
Brazil,BRA,1964,2138.3933
Brazil,BRA,1965,2139.4929
Brazil,BRA,1966,2140.5933
Brazil,BRA,1967,2141.6941
Brazil,BRA,1968,2142.7954
Brazil,BRA,1969,2143.8975
Brazil,BRA,1970,2145
Brazil,BRA,1971,2128.5408
Brazil,BRA,1972,2112.2078
Brazil,BRA,1973,2096
Brazil,BRA,1974,2079.7708
Brazil,BRA,1975,2063.667
Brazil,BRA,1976,2047.6881
Brazil,BRA,1977,2031.8329
Brazil,BRA,1978,2016.1005
Brazil,BRA,1979,2000.4897
Brazil,BRA,1980,1985
Brazil,BRA,1981,1974.0968
Brazil,BRA,1982,1963.2535
Brazil,BRA,1983,1952.4698
Brazil,BRA,1984,1941.7454
Brazil,BRA,1985,1931.0797
Brazil,BRA,1986,1920.4728
Brazil,BRA,1987,1909.924
Brazil,BRA,1988,1899.4332
Brazil,BRA,1989,1889
Brazil,BRA,1990,1879
Brazil,BRA,1991,1868.4705
Brazil,BRA,1992,1858
Brazil,BRA,1993,1858.9998
Brazil,BRA,1994,1860
Brazil,BRA,1995,1855.2317
Brazil,BRA,1996,1850.4756
Brazil,BRA,1997,1845.7317
Brazil,BRA,1998,1841
Brazil,BRA,1999,1813.8428
Brazil,BRA,2000,1837.927
Brazil,BRA,2001,1828.3264
Brazil,BRA,2002,1818.7257
Brazil,BRA,2003,1811.1825
Brazil,BRA,2004,1803.1261
Brazil,BRA,2005,1783.1312
Brazil,BRA,2006,1778.7123
Brazil,BRA,2007,1781.6913
Brazil,BRA,2008,1784.6703
Brazil,BRA,2009,1779.3353
Brazil,BRA,2010,1779.5791
Brazil,BRA,2011,1773.1746
Brazil,BRA,2012,1766.77
Brazil,BRA,2013,1755.6323
Brazil,BRA,2014,1739.4747
Brazil,BRA,2015,1709.4856
Brazil,BRA,2016,1709.4856
Brazil,BRA,2017,1709.4856
Bulgaria,BGR,1995,1710.674
Bulgaria,BGR,1996,1708.2025
Bulgaria,BGR,1997,1706.8674
Bulgaria,BGR,1998,1649.981
Bulgaria,BGR,1999,1669.4999
Bulgaria,BGR,2000,1640.2538
Bulgaria,BGR,2001,1651.8589
Bulgaria,BGR,2002,1651.2594
Bulgaria,BGR,2003,1640.5111
Bulgaria,BGR,2004,1663.6887
Bulgaria,BGR,2005,1658.6464
Bulgaria,BGR,2006,1654.1027
Bulgaria,BGR,2007,1654.5214
Bulgaria,BGR,2008,1693.5959
Bulgaria,BGR,2009,1646.2753
Bulgaria,BGR,2010,1644.8379
Bulgaria,BGR,2011,1643.5928
Bulgaria,BGR,2012,1644.4498
Bulgaria,BGR,2013,1644.9795
Bulgaria,BGR,2014,1644.059
Bulgaria,BGR,2015,1644.3853
Bulgaria,BGR,2016,1643.5475
Bulgaria,BGR,2017,1643.5475
Cambodia,KHM,1993,2190.6436
Cambodia,KHM,1994,2160.658
Cambodia,KHM,1995,2187.2813
Cambodia,KHM,1996,2191.9963
Cambodia,KHM,1997,2202.3345
Cambodia,KHM,1998,2239.2913
Cambodia,KHM,1999,2265.4268
Cambodia,KHM,2000,2296.8909
Cambodia,KHM,2001,2321.0562
Cambodia,KHM,2002,2367.1667
Cambodia,KHM,2003,2366.4758
Cambodia,KHM,2004,2374.304
Cambodia,KHM,2005,2373.7581
Cambodia,KHM,2006,2374.1353
Cambodia,KHM,2007,2380.8865
Cambodia,KHM,2008,2382.5652
Cambodia,KHM,2009,2389.0847
Cambodia,KHM,2010,2390.1621
Cambodia,KHM,2011,2408.062
Cambodia,KHM,2012,2414.2522
Cambodia,KHM,2013,2423.9707
Cambodia,KHM,2014,2442.6956
Cambodia,KHM,2015,2455.5508
Cambodia,KHM,2016,2455.5508
Cambodia,KHM,2017,2455.5508
Canada,CAN,1870,2845
Canada,CAN,1880,2934
Canada,CAN,1890,3017
Canada,CAN,1900,3102
Canada,CAN,1913,2868
Canada,CAN,1929,2354
Canada,CAN,1938,2212
Canada,CAN,1950,2209.2341
Canada,CAN,1951,2194.1836
Canada,CAN,1952,2181.9395
Canada,CAN,1953,2180.5283
Canada,CAN,1954,2172.6038
Canada,CAN,1955,2154.6565
Canada,CAN,1956,2142.2791
Canada,CAN,1957,2122.9817
Canada,CAN,1958,2107.6152
Canada,CAN,1959,2104.4343
Canada,CAN,1960,2090.8059
Canada,CAN,1961,2066.4954
Canada,CAN,1962,2065.0449
Canada,CAN,1963,2050.3577
Canada,CAN,1964,2039.1084
Canada,CAN,1965,2021.2146
Canada,CAN,1966,1995.1143
Canada,CAN,1967,1985.5981
Canada,CAN,1968,1961.4777
Canada,CAN,1969,1942.4684
Canada,CAN,1970,1925
Canada,CAN,1971,1912
Canada,CAN,1972,1904
Canada,CAN,1973,1898
Canada,CAN,1974,1891
Canada,CAN,1975,1872
Canada,CAN,1976,1862
Canada,CAN,1977,1834
Canada,CAN,1978,1836
Canada,CAN,1979,1841
Canada,CAN,1980,1827
Canada,CAN,1981,1812
Canada,CAN,1982,1789
Canada,CAN,1983,1779
Canada,CAN,1984,1789
Canada,CAN,1985,1795
Canada,CAN,1986,1797
Canada,CAN,1987,1807
Canada,CAN,1988,1808
Canada,CAN,1989,1802
Canada,CAN,1990,1797
Canada,CAN,1991,1775
Canada,CAN,1992,1772
Canada,CAN,1993,1769
Canada,CAN,1994,1778
Canada,CAN,1995,1775
Canada,CAN,1996,1790
Canada,CAN,1997,1785.3007
Canada,CAN,1998,1782.1237
Canada,CAN,1999,1782.0236
Canada,CAN,2000,1778.6147
Canada,CAN,2001,1771.0833
Canada,CAN,2002,1753.5767
Canada,CAN,2003,1746.0255
Canada,CAN,2004,1759.0833
Canada,CAN,2005,1746.6008
Canada,CAN,2006,1744.8906
Canada,CAN,2007,1741.265
Canada,CAN,2008,1734.8149
Canada,CAN,2009,1701.0571
Canada,CAN,2010,1703.0271
Canada,CAN,2011,1699.6071
Canada,CAN,2012,1712.5425
Canada,CAN,2013,1707.413
Canada,CAN,2014,1703.6506
Canada,CAN,2015,1707.073
Canada,CAN,2016,1702.9673
Canada,CAN,2017,1696.4624
Chile,CHL,1951,2677.8069
Chile,CHL,1952,2655.0442
Chile,CHL,1953,2632.4749
Chile,CHL,1954,2610.0974
Chile,CHL,1955,2587.9102
Chile,CHL,1956,2565.9114
Chile,CHL,1957,2544.0999
Chile,CHL,1958,2522.4736
Chile,CHL,1959,2501.0313
Chile,CHL,1960,2479.771
Chile,CHL,1961,2471.2148
Chile,CHL,1962,2462.688
Chile,CHL,1963,2454.1907
Chile,CHL,1964,2445.7227
Chile,CHL,1965,2437.2839
Chile,CHL,1966,2428.8743
Chile,CHL,1967,2420.4937
Chile,CHL,1968,2412.1418
Chile,CHL,1969,2403.8188
Chile,CHL,1970,2395.5247
Chile,CHL,1971,2392.6724
Chile,CHL,1972,2389.8235
Chile,CHL,1973,2386.978
Chile,CHL,1974,2384.0017
Chile,CHL,1975,2381.0291
Chile,CHL,1976,2378.0603
Chile,CHL,1977,2375.095
Chile,CHL,1978,2372.1335
Chile,CHL,1979,2369.1758
Chile,CHL,1980,2366.2217
Chile,CHL,1981,2371.7322
Chile,CHL,1982,2377.2556
Chile,CHL,1983,2382.7917
Chile,CHL,1984,2388.3411
Chile,CHL,1985,2393.9031
Chile,CHL,1986,2399.478
Chile,CHL,1987,2405.0659
Chile,CHL,1988,2410.667
Chile,CHL,1989,2416.281
Chile,CHL,1990,2422.3857
Chile,CHL,1991,2418.905
Chile,CHL,1992,2415.4243
Chile,CHL,1993,2389.4006
Chile,CHL,1994,2363.6575
Chile,CHL,1995,2338.1917
Chile,CHL,1996,2313
Chile,CHL,1997,2256
Chile,CHL,1998,2299
Chile,CHL,1999,2277
Chile,CHL,2000,2263
Chile,CHL,2001,2242
Chile,CHL,2002,2250
Chile,CHL,2003,2235
Chile,CHL,2004,2232
Chile,CHL,2005,2157
Chile,CHL,2006,2165
Chile,CHL,2007,2128
Chile,CHL,2008,2095
Chile,CHL,2009,2074
Chile,CHL,2010,2070
Chile,CHL,2011,2047
Chile,CHL,2012,2024
Chile,CHL,2013,2015
Chile,CHL,2014,1990
Chile,CHL,2015,1988
Chile,CHL,2016,1974
Chile,CHL,2017,1974
China,CHN,1970,1976.312
China,CHN,1971,1975.7937
China,CHN,1972,1975.5077
China,CHN,1973,1975.3647
China,CHN,1974,1975.1897
China,CHN,1975,1974.8975
China,CHN,1976,1974.2075
China,CHN,1977,1973.4353
China,CHN,1978,1972.7274
China,CHN,1979,1972.1038
China,CHN,1980,1971.4967
China,CHN,1981,1971.1016
China,CHN,1982,1970.7063
China,CHN,1983,1970.1927
China,CHN,1984,1969.7229
China,CHN,1985,1969.3905
China,CHN,1986,1970.4417
China,CHN,1987,1971.4633
China,CHN,1988,1972.6764
China,CHN,1989,1973.9873
China,CHN,1990,1975.354
China,CHN,1991,1976.88
China,CHN,1992,1978.4241
China,CHN,1993,1981.6498
China,CHN,1994,1989.3041
China,CHN,1995,2001.834
China,CHN,1996,2017.2693
China,CHN,1997,2037.369
China,CHN,1998,2062.054
China,CHN,1999,2082.0659
China,CHN,2000,2090.4753
China,CHN,2001,2103.5127
China,CHN,2002,2118.1997
China,CHN,2003,2138.0828
China,CHN,2004,2167.8962
China,CHN,2005,2192.3545
China,CHN,2006,2183.0564
China,CHN,2007,2152.6538
China,CHN,2008,2131.5859
China,CHN,2009,2138.8472
China,CHN,2010,2172.7104
China,CHN,2011,2178.7708
China,CHN,2012,2184.2307
China,CHN,2013,2178.241
China,CHN,2014,2178.1633
China,CHN,2015,2174.3501
China,CHN,2016,2174.3501
China,CHN,2017,2174.3501
Colombia,COL,1950,2323
Colombia,COL,1951,2312.28
Colombia,COL,1952,2301.6096
Colombia,COL,1953,2290.9885
Colombia,COL,1954,2280.4163
Colombia,COL,1955,2269.8931
Colombia,COL,1956,2259.4182
Colombia,COL,1957,2248.9917
Colombia,COL,1958,2238.6133
Colombia,COL,1959,2228.2827
Colombia,COL,1960,2218
Colombia,COL,1961,2213.1526
Colombia,COL,1962,2208.3159
Colombia,COL,1963,2203.4895
Colombia,COL,1964,2198.6738
Colombia,COL,1965,2193.8687
Colombia,COL,1966,2189.074
Colombia,COL,1967,2184.2898
Colombia,COL,1968,2179.5161
Colombia,COL,1969,2174.7529
Colombia,COL,1970,2170
Colombia,COL,1971,2160.29
Colombia,COL,1972,2150.6233
Colombia,COL,1973,2141
Colombia,COL,1974,2131.2976
Colombia,COL,1975,2121.6394
Colombia,COL,1976,2112.0247
Colombia,COL,1977,2102.4536
Colombia,COL,1978,2092.926
Colombia,COL,1979,2083.4414
Colombia,COL,1980,2074
Colombia,COL,1981,2063.2231
Colombia,COL,1982,2052.5022
Colombia,COL,1983,2041.8372
Colombia,COL,1984,2031.2274
Colombia,COL,1985,2020.6729
Colombia,COL,1986,2010.1731
Colombia,COL,1987,1999.7279
Colombia,COL,1988,1989.3369
Colombia,COL,1989,1979
Colombia,COL,1990,1969
Colombia,COL,1991,1958.9745
Colombia,COL,1992,1949
Colombia,COL,1993,1961.9569
Colombia,COL,1994,1975
Colombia,COL,1995,1970.2328
Colombia,COL,1996,1965.4771
Colombia,COL,1997,1960.7328
Colombia,COL,1998,1956
Colombia,COL,1999,1956
Colombia,COL,2000,1956
Colombia,COL,2001,1956
Colombia,COL,2002,2032.2886
Colombia,COL,2003,2016.2488
Colombia,COL,2004,2004.2563
Colombia,COL,2005,2013.9287
Colombia,COL,2006,2036.0232
Colombia,COL,2007,2058.3601
