champion_name;champion_title;class;playstyle;date_release;last_change;blue_essence_price;rp_price;ressource;HP;HP+;HP_lvl18;HP5;HP5+;HP5_lvl18;MP;MP+;MP_lvl18;MP5;MP5+;MP5_lvl18;AD;AD+;AD_lvl18;AS;AS+;AS_lvl18;AR;AR+;AR_lvl18;MR;MR+;MR_lvl18;MS;MS_lvl18;range;range_lvl18
Miss Fortune;the Bounty Hunter;Marksman;Marksman;08/09/2010;V10.25;3150;790;Mana;570;93;2151;3.75;0.65;14.8;325.84;35;920.84;8.04;0.65;19.09;52;2.7;97.9;0.656;3%;0.991;28;3;79;30;0.5;38.5;325;325;550;550
Mordekaiser;the Iron Revenant;Fighter;Juggernaut;24/02/2010;V11.10;1350;585;Shield;575;90;2105;5;0.75;17.75;0;0;;0;0;;61;4;129;0.625;1%;0.731;37;3;88;32;1.25;53.25;335;335;175;175
Morgana;the Fallen;Controllerer;Catcher;21/02/2009;V11.9;1350;585;Mana;560;90;2090;5.5;0.4;12.3;340;60;1360;11;0.4;17.8;56;3.5;115.5;0.625;1.53%;0.788;25;3.8;89.6;30;0.5;38.5;335;335;450;450
Nami;the Tidecaller;Controller;Enchanter;07/12/2012;V11.1;4800;880;Mana;475;74;1733;5.5;0.55;14.85;365;43;1096;11.5;0.4;18.3;51;3.1;103.7;0.644;2.61%;0.93;29;4;97;30;0.5;38.5;335;335;550;550
Nasus;the Curator of the Sands;Fighter;Juggernaut;01/10/2009;V11.1;1350;585;Mana;561;90;2091;9;0.9;24.3;326;62;1380;7.44;0.5;15.94;67;3.5;126.5;0.638;3.48%;1.015;34;3.5;93.5;32;1.25;53.25;350;350;125;125
Nautilus;the Titan of the Depths;Tank;Vanguard;14/02/2012;V11.1;4800;880;Mana;576;86;2038;8.5;0.55;17.85;400;47;1199;8.63;0.5;17.13;61;3.3;117.1;0.706;1%;0.81;39;3.75;102.75;32;1.25;53.25;325;325;175;175
Neeko;the Curious Chameleon;Mage;Burst;05/12/2018;V11.7;6300;975;Mana;540;90;2070;7.5;0.75;20.25;450;30;960;7;0.7;18.9;48;2.5;90.5;0.625;3.5%;1.024;21;4;89;30;0.5;38.5;340;340;550;550
Nidalee;the Bestial Huntress;Specialist;Specialist;17/12/2009;V10.25;3150;790;Mana;545;85;1990;6;0.6;16.2;295;45;1060;6;0.8;19.6;58;3.5;117.5;0.638;3.22%;0.987;28;3.5;87.5;30;0.5;38.5;335;335;525;525
Nocturne;the Eternal Nightmare;Slayer;Assassin;15/03/2011;V11.2;4800;880;Mana;585;85;2030;7;0.75;19.75;275;35;870;7;0.45;14.65;62;3.1;114.7;0.721;2.7%;1.028;38;3.5;97.5;32;0.75;44.75;345;345;125;125
Nunu;the Boy and His Yeti;Tank;Warden;21/02/2009;V11.8;450;260;Mana;540;82;1934;5;0.8;18.6;280;42;994;7;0.5;15.5;61;3;112;0.625;2.25%;0.864;29;3;80;32;1.25;53.25;340;340;125;125
Olaf;the Berserker;Fighter;Diver;09/06/2010;V11.3;3150;790;Mana;575;100;2156;8.5;0.9;23.8;316;42;1030;7.5;0.6;17.33;68;3.5;127.5;0.694;2.7%;1.013;35;3;86;32;1.25;53.25;350;350;125;125
Orianna;the Lady of Clockwork;Mage;Burst;01/06/2011;V11.8;4800;880;Mana;530;91;2077;7;0.55;16.35;418;25;843;8;0.8;21.6;40;2.6;84.2;0.658;3.5%;1.05;17;3;68;26;0.5;34.5;325;325;525;525
Ornn;The Fire Below the Mountain;Tank;Vanguard;23/08/2017;V11.1;6300;975;Mana;590;95;2205;9;0.9;24.3;340.6;65;1445.6;8.01;0.6;18.21;69;3.5;128.5;0.625;2%;0.838;33;4;101;32;1.25;53.25;335;335;175;175
Pantheon;the Unbreakable Spear;Fighter;Diver;02/02/2010;V11.3;3150;790;Mana;580;95;2195;9;0.65;20.05;317.12;31;844.12;7.36;0.45;15.01;64;3.3;120.1;0.644;2.95%;0.967;40;3.75;103.75;28;1.25;49.25;345;345;175;175
Poppy;Keeper of the Hammer;Tank;Warden;13/01/2010;V10.5;450;260;Mana;540;90;2070;8;0.8;21.6;280;40;960;7;0.7;18.9;64;4;132;0.625;2.5%;0.891;38;3.5;97.5;32;1.25;53.25;345;345;125;125
Pyke;the Bloodharbor Ripper;Slayer;Assassin;31/05/2018;V11.10;6300;975;Mana;600;90;2130;7;0.5;15.5;415;50;1265;8;1;25;62;2;96;0.667;2.5%;0.95;45;3.5;104.5;32;1.25;53.25;330;330;150;150
Qiyana;Empress of the Elements;Slayer;Assassin;28/06/2019;V11.5;6300;975;Mana;590;90;2120;9;0.9;24.3;320;50;1170;8;0.7;19.9;66;3.1;118.7;0.625;2.1%;0.848;28;3.5;87.5;32;1.25;53.25;335;335;150;150
Quinn;Demacia's Wings;Specialist;Specialist;01/03/2013;V11.5;4800;880;Mana;533;85;1978;5.5;0.55;14.85;269;35;864;6.97;0.4;13.77;59;2.4;99.8;0.668;3.1%;1.02;28;3.5;87.5;30;0.5;38.5;335;335;525;525
Rakan;The Charmer;Controllerer;Catcher;19/04/2017;V11.8;6300;975;Mana;540;85;1985;5;0.5;13.5;315;50;1165;8.75;0.5;17.25;62;3.5;121.5;0.635;3%;0.959;32;3.9;98.3;32;1.25;53.25;335;335;300;300
Rammus;the Armordillo;Tank;Vanguard;10/07/2009;V11.8;1350;585;Mana;564;80;1924;8;0.55;17.35;310;33;871;7.84;0.5;16.34;56;3.5;115.5;0.656;2.22%;0.891;36;4.3;109.1;32;1.25;53.25;335;335;125;125
RekSai;the Void Burrower;Fighter;Diver;11/12/2014;V11.1;4800;880;Rage;570;85;2015;7.5;0.65;18.55;100;0;;0;0;;64;3;115;0.667;2%;0.894;36;3.75;99.75;32;1.25;53.25;335;335;175;175
Rell;the Iron Maiden;Tank;Vanguard;10/12/2020;V11.7;6300;975;Mana;540;90;2070;7;0.55;16.35;350;45;1115;6;0.35;11.95;55;3;106;0.55;2%;0.737;32;3;83;32.1;1.25;53.35;335;335;175;175
Renekton;the Butcher of the Sands;Fighter;Diver;18/01/2011;V11.6;4800;880;Fury;575;87;2054;8;0.75;20.75;100;0;;0;0;;69;3.75;132.75;0.665;2.75%;0.976;35;4;103;32;1.25;53.25;345;345;125;125
Rengar;the Pridestalker;Slayer;Assassin;21/08/2012;V11.2;4800;880;Ferocity;585;90;2115;7;0.5;15.5;4;0;;0;0;;68;3;119;0.667;3%;1.007;34;3;85;32;1.25;53.25;345;345;125;125
Riven;the Exile;Slayer;Skirmisher;14/09/2011;V11.3;4800;880;;560;86;2022;8.5;0.5;17;0;0;;0;0;;64;3;115;0.625;3.5%;0.997;33;3.2;87.4;32;1.25;53.25;340;340;125;125
Rumble;the Mechanized Menace;Mage;Battlemage;26/04/2011;V11.9;4800;880;Heat;589;85;2034;8;0.6;18.2;100;0;;0;0;;61;3.2;115.4;0.644;1.85%;0.847;31;3.5;90.5;28;0.75;40.75;345;345;125;125
Ryze;the Rune Mage;Mage;Battlemage;21/02/2009;V11.1;450;260;Mana;575;110;2241;8;0.8;21.6;300;70;1490;8;1;25;58;3;109;0.625;2.11%;0.849;22;3;73;36;0.5;44.5;340;340;550;550
Samira;the Desert Rose;Marksman;Marksman;21/09/2020;V11.6;6300;975;Mana;530;88;2026;3.25;0.55;12.6;348.88;38;994.88;8.18;0.7;20.08;57;3;108;0.658;3.3%;1.027;26;3;77;30;0.5;38.5;335;335;500;500
Sejuani;Fury of the North;Tank;Vanguard;17/01/2012;V11.10;4800;880;Mana;560;100;2260;8.5;1;25.5;400;40;1080;7;0.7;18.9;66;4;134;0.688;3.5%;1.06;34;4.25;106.25;32;1.25;53.25;340;340;150;150
Senna;the Redeemer;Marksman;Marksman;10/11/2019;V11.5;6300;975;Mana;520;75;1795;3.5;0.55;12.85;350;45;1115;11.5;0.4;18.3;50;0;50;0.625;4%;0.829;28;3.5;87.5;30;0.5;38.5;330;330;600;600
Séraphine;the Starry-Eyed Songstress;Mage;Burst;29/10/2020;V11.7;6300;975;Mana;500;90;2030;6.5;0.6;16.7;440;40;1120;8;1;25;55;3;106;0.669;1%;0.775;19;3;70;30;0.5;38.5;325;325;525;525
Sett;the Boss;Fighter;Juggernaut;14/01/2020;V11.9;6300;975;Grit;600;93;2181;7;0.5;15.5;0;0;;0;0;;60;4;128;0.625;1.75%;0.811;33;4;101;32;1.25;53.25;340;340;125;125
Shaco;the Demon Jester;Slayer;Assassin;10/10/2009;V11.5;3150;790;Mana;560;89;2100;8.5;0.55;17.85;297;40;977;7.16;0.45;14.81;63;3;114;0.694;3%;1.048;30;3.5;89.5;32;1.25;53.25;345;345;125;125
Shen;the Eye of Twilight;Tank;Warden;24/03/2010;V11.9;3150;790;Energy;540;85;1985;8.5;0.75;21.25;400;0;;50;0;;60;3;111;0.751;3%;1.083;34;3;85;32;1.25;53.25;340;340;125;125
Shyvana;the Half-Dragon;Fighter;Juggernaut;01/11/2011;V11.6;3150;790;Fury;595;95;2210;8.5;0.8;22.1;100;0;;0;0;;66;3.4;123.8;0.658;2.5%;0.938;38;3.35;94.95;32;1.25;53.25;350;350;125;125
Singed;the Mad Chemist;Specialist;Specialist;18/04/2009;V11.3;450;260;Mana;580;85;2025;9.5;0.55;18.85;330;45;1095;7.5;0.55;16.85;63;3.38;120.46;0.613;1.9%;0.811;34;3.5;93.5;32;1.25;53.25;345;345;125;125
Sion;The Undead Juggernaut;Tank;Vanguard;21/02/2009;V11.8;1350;585;Mana;545;73;1786;7.5;0.8;21.1;330;42;1044;8;0.6;18.2;68;4;136;0.679;1.3%;0.829;32;3;83;32;1.25;53.25;345;345;175;175
Sivir;the Battle Mistress;Marksman;Marksman;21/02/2009;V11.1;450;260;Mana;562;90;2092;3.25;0.55;12.6;325;50;1175;8;0.9;23.3;63;3;114;0.625;1.6%;0.795;26;3.25;81.25;30;0.5;38.5;335;335;500;500
Skarner;the Crystal Vanguard;Fighter;Diver;09/08/2011;V11.4;4800;880;Mana;580;85;2025;9;0.85;23.45;320;60;1340;7.2;0.45;14.85;65;4.5;141.5;0.625;2.1%;0.848;38;3.8;102.6;32;1.25;53.25;335;335;125;125
Sona;Maven of the Strings;Controller;Enchanter;21/09/2010;V10.23;3150;790;Mana;480;77;1789;5.5;0.55;14.85;340;45;1105;11.5;0.4;18.3;49;3;100;0.644;2.3%;0.896;28;3.3;84.1;30;0.5;38.5;325;325;550;550
Soraka;the Starchild;Controller;Enchanter;21/02/2009;V11.4;450;260;Mana;535;74;1793;2.5;0.5;11;425;40;1105;11.5;0.4;18.3;50;3;101;0.625;2.14%;0.852;32;3.8;96.6;30;0.5;38.5;325;325;550;550
Swain;the Noxian Grand General;Mage;Battlemage;05/10/2010;V11.1;4800;880;Mana;525;85;1970;7;0.65;18.05;468;28.5;952.5;8;0.8;21.6;58;2.7;103.9;0.625;2.11%;0.849;23;4;91;30;0.5;38.5;325;325;525;525
Sylas;the Unshackled;Mage;Burst;25/01/2019;V11.10;6300;975;Mana;525;115;2480;9;0.9;24.3;280;70;1470;7;0.8;20.6;61;3;112;0.645;3.5%;1.029;27;4;95;32;1.75;61.75;340;340;175;175
Syndra;the Dark Sovereign;Mage;Burst;13/09/2012;V11.1;4800;880;Mana;523;90;2053;6.5;0.6;16.7;480;40;1160;8;0.8;21.6;54;2.9;103.3;0.625;2%;0.838;25;3.4;82.8;30;0.5;38.5;330;330;550;550
Tahm Kench;the River King;Tank;Warden;09/07/2015;V11.1;6300;975;Mana;570;95;2300;6.5;0.55;15.85;325;50;1005;8;1;25;56;3.2;110.4;0.658;2.5%;0.938;42;3.5;106.5;32;1.25;53.25;335;335;175;175
Taliyah;the Stoneweaver;Mage;Battlemage;18/05/2016;V11.3;6300;975;Mana;532;90;2062;7;0.7;18.9;425;30;935;9.34;0.85;23.79;58;3.3;114.1;0.625;1.36%;0.77;20;3.5;79.5;30;0.5;38.5;335;335;525;525
Talon;the Blade's Shadow;Slayer;Assassin;24/08/2011;V11.10;4800;880;Mana;588;95;2203;8.5;0.75;21.25;377.2;37;1006.2;7.6;0.8;21.2;68;3.1;120.7;0.625;2.9%;0.933;30;3.5;89.5;39;1.25;60.25;335;335;125;125
Taric;the Shield of Valoran;Controller;Enchanter;19/08/2009;V11.9;1350;585;Mana;575;85;2020;6;0.5;14.5;300;60;1320;8.5;0.8;22.1;55;3.5;114.5;0.625;2%;0.838;40;3.4;97.8;32;1.25;53.25;340;340;150;150
Teemo;the Swift Scout;Specialist;Specialist;21/02/2009;V11.7;1350;585;Mana;528;90;2058;5.5;0.65;16.55;334;20;674;9.6;0.45;17.25;54;3;105;0.69;3.38%;1.086;24;3.75;87.75;30;0.5;38.5;330;330;500;500
Thresh;the Chain Warden;Controllerer;Catcher;23/01/2013;V11.10;4800;880;Mana;530;95;2145;7;0.55;16.35;274;44;1022;6;0.8;19.6;56;2.2;93.4;0.625;3.5%;0.997;28;0;28;30;0.5;38.5;335;335;450;450
Tristana;the Yordle Gunner;Marksman;Marksman;21/02/2009;V11.7;1350;585;Mana;559;88;2055;3.75;0.65;14.8;250;32;794;7.2;0.45;14.85;59;3.3;115.1;0.656;1.5%;0.829;26;3;77;30;0.5;38.5;325;325;525;525
Trundle;the Troll King;Fighter;Juggernaut;01/12/2010;V11.9;3150;790;Mana;616;96;2248;6;0.75;18.75;281;45;1046;7.5;0.6;17.7;68;3;119;0.67;2.9%;1;37;2.7;82.9;32;1.25;53.25;350;350;175;175
Tryndamere;the Barbarian King;Slayer;Skirmisher;01/05/2009;V11.5;1350;585;Fury;626;98;2292;8.5;0.9;23.8;100;0;;0;0;;72;3.7;134.9;0.67;2.9%;1;33;3.1;85.7;32;1.25;53.25;345;345;125;125
Twisted Fate;the Card Master;Mage;Burst;21/02/2009;V10.23;1350;585;Mana;534;94;2132;5.5;0.6;15.7;333;39;996;8;0.8;21.6;52;3.3;108.1;0.651;3.22%;1.007;21;3.15;74.55;30;0.5;38.5;330;330;525;525
Twitch;the Plague Rat;Marksman;Marksman;01/05/2009;V11.5;3150;790;Mana;612;86;2074;3.75;0.6;13.95;287.2;40;967.2;7.26;0.45;14.91;59;3.11;111.87;0.679;3.38%;1.069;27;3;78;30;0.5;38.5;330;330;550;550
Udyr;the Spirit Walker;Fighter;Juggernaut;02/12/2009;V11.7;1350;585;Mana;594;92;2158;6;0.75;18.75;271;50;1121;7.5;0.45;15.15;64;5;149;0.658;2.67%;0.957;34;4;102;32;1.25;53.25;350;350;125;125
Urgot;the Dreadnought;Fighter;Juggernaut;24/08/2010;V11.10;3150;790;Mana;585;88;2081;7.5;0.7;19.4;340;45;1105;7.25;0.8;20.85;63;4;131;0.625;3.75%;1.023;36;4.25;108.25;32;1.25;53.25;330;330;350;350
Varus;the Arrow of Retribution;Marksman;Marksman;08/05/2012;V11.7;4800;880;Mana;530;91;2077;3.5;0.55;12.85;360;40;1040;8;0.8;21.6;61;3.4;118.8;0.658;4%;1.105;27;3.4;84.8;30;0.5;38.5;330;330;575;575
Vayne;the Night Hunter;Marksman;Marksman;10/05/2011;V10.20;4800;880;Mana;515;89;2028;3.5;0.55;12.85;231.8;35;826.8;6.97;0.4;13.77;60;2.36;100.12;0.658;3.3%;1.027;23;3.4;80.8;30;0.5;38.5;330;330;550;550
Veigar;the Tiny Master of Evil;Mage;Burst;24/07/2009;V11.10;1350;585;Mana;505;94;2103;6.5;0.6;16.7;490;26;932;8;0.8;21.6;52;2.7;97.9;0.625;2.24%;0.863;23;3.75;86.75;32;0.5;40.5;340;340;550;550
VelKoz;the Eye of the Void;Mage Artillery;Artillery;27/02/2014;V11.1;4800;880;Mana;520;88;2016;5.5;0.55;14.85;469;21;826;8;0.8;21.6;55;3.1415927;108.4070759;0.625;1.36%;0.77;22;3.5;81.5;30;0.5;38.5;340;340;525;525
Vi;the Piltover Enforcer;Fighter;Diver;19/12/2012;V11.1;4800;880;Mana;585;85;2030;10;1;27;295;65;1400;8;0.65;19.05;63;3.5;122.5;0.644;2%;0.863;30;4;98;32;1.25;53.25;340;340;125;125
Viego;The Ruined King;Slayer;Skirmisher;22/01/2021;V11.9;6300;975;;560;95;2175;7;0.7;18.9;0;0;;0;0;;57;3.5;116.5;0.658;2.5%;0.938;34;4;102;32;1.25;53.25;345;345;225;225
Viktor;the Machine Herald;Mage;Battlemage;29/12/2011;V11.9;4800;880;Mana;530;90;2060;8;0.65;19.05;405;45;1170;8;0.8;21.6;53;3;104;0.658;2.11%;0.894;23;4;91;30;0.5;38.5;335;335;525;525
Vladimir;the Crimson Reaper;Mage;Battlemage;27/07/2010;V11.10;3150;790;Bloodthirst;537;96;2169;7;0.6;17.2;2;0;;0;0;;55;3;106;0.658;2%;0.882;23;3.3;79.1;30;0.5;38.5;330;330;450;450
Volibear;the Relentless Storm;Fighter;Juggernaut;29/11/2011;V11.6;3150;790;Mana;580;90;2110;9;0.75;21.75;350;70;1540;6.25;0.5;14.75;60;3;111;0.625;2%;0.863;31;4;99;32;1.25;53.25;340;340;150;150
Warwick;the Uncaged Wrath of Zaun;Fighter;Diver;21/02/2009;V11.6;450;260;Mana;550;85;1995;4;0.75;16.75;280;35;875;7.47;0.58;17.33;65;3;116;0.638;2.3%;0.887;33;3.2;87.4;32;1.25;53.25;335;335;125;125
Wukong;the Monkey King;Fighter;Diver;26/07/2011;V11.9;4800;880;Mana;540;85;1985;4;0.65;15.05;300;65;1405;8;0.65;19.05;68;4;136;0.711;3%;1.047;31;3.5;90.5;28;1.25;49.25;345;345;175;175
Xayah;the Rebel;Marksman;Marksman;19/04/2017;V11.1;6300;975;Mana;590;88;2086;3.25;0.75;16;340;40;1020;8.25;0.75;21;60;3.5;119.5;0.625;3.9%;1.039;25;3;76;30;0.5;38.5;325;325;525;525
Xerath;the Magus Ascendant;Mage Artillery;Artillery;05/10/2011;V11.9;4800;880;Mana;526;92;2090;5.5;0.55;14.85;459;22;833;8;0.8;21.6;55;3;106;0.625;1.36%;0.77;22;3.5;81.5;30;0.5;38.5;340;340;525;525
Xin Zhao;the Seneschal of Demacia;Fighter;Diver;13/07/2010;V11.8;1350;585;Mana;570;92;2134;8;0.7;19.9;274;55;1209;7.26;0.45;14.91;66;3;117;0.645;3.5%;1.029;35;3.5;94.5;32;1.25;53.25;345;345;175;175
Yasuo;the Unforgiven;Slayer;Skirmisher;13/12/2013;V11.7;4800;880;;490;87;1969;6.5;0.9;21.8;100;0;;0;0;;60;3;111;0.697;3.5%;1.096;30;3.4;87.8;32;1.25;53.25;345;345;175;175
Yone;the Unforgotten;Slayer;Assassin;06/08/2020;V11.10;6300;975;;550;85;1995;7.5;0.75;20.25;500;0;;0;0;;60;2;94;0.625;3.5%;0.997;28;3.4;85.8;32;1.25;53.25;345;345;175;175
Yorick;Shepherd of Souls;Fighter;Juggernaut;22/06/2011;V11.8;4800;880;Mana;580;100;2280;8;0.8;21.6;300;60;1320;7.5;0.75;20.25;62;5;147;0.625;2%;0.838;39;4;107;32;1.25;53.25;340;340;175;175
Yuumi;the Magical Cat;Controller;Enchanter;14/05/2019;V11.10;6300;975;Mana;480;70;1670;7;0.55;16.35;400;45;1165;10;0.4;16.8;55;3.1;107.7;0.625;1%;0.731;25;3;76;25;0.3;30.1;330;330;500;500
Zac;the Secret Weapon;Tank;Vanguard;29/03/2013;V11.8;4800;880;Health;615;95;2230;8;0.5;16.5;0;0;;0;0;;60;3.4;117.8;0.736;1.6%;0.91;33;3.5;92.5;32;1.25;53.25;340;340;175;175
Zed;the Master of Shadows;Slayer;Assassin;13/11/2012;V11.8;4800;880;Energy;584;85;2029;7;0.65;18.05;200;0;;50;0;;63;3.4;120.8;0.651;3.3%;1.016;32;3.5;91.5;32;1.25;53.25;345;345;125;125
Ziggs;the Hexplosives Expert;Mage Artillery;Artillery;01/02/2012;V11.1;4800;880;Mana;536;92;2100;6.5;0.6;16.7;420;23.5;879.5;8;0.8;21.6;54;3.1;106.7;0.656;2%;0.879;22;3.3;78.1;30;0.5;38.5;325;325;550;550
Zilean;the Chronokeeper;Specialist;Specialist;18/04/2009;V11.1;1350;585;Mana;504;82;1898;5.5;0.5;14;452;50;1302;11.34;0.8;24.94;52;3;103;0.625;2.13%;0.851;24;3.8;88.6;30;0.5;38.5;335;335;550;550
Zoe;the Aspect of Twilight;Mage;Burst;21/11/2017;V11.2;6300;975;Mana;560;92;2124;6.5;0.6;16.7;425;25;850;8;0.65;19.05;58;3.3;114.1;0.625;2.5%;0.891;21;3.5;80.5;30;0.5;38.5;340;340;550;550
Zyra;Rise of the Thorns;Controller;Catcher;24/07/2012;V11.10;4800;880;Mana;504;79;1847;5.5;0.5;14;418;25;843;13;0.4;19.8;53;3.2;107.4;0.625;2.11%;0.849;29;3;80;30;0.5;38.5;340;340;575;575
