,Imie,Data utworzenia pliku,Rozszerzenie,Nazwa pliku,Ilosc słow:,Ilosc przecinkow,Ilosc pytajnikow,Ilosc wykrzyknikow,Ilosc kropek,Ilosc myslnikow,Ilosc dwukropkow,Ilosc pozostalych znakow,Zlozonosc zdan,Najdluzsze slowo
0,Malgosia,2021-01-19,docx,artykuł.angielski.docx,257,9,1,0,18,4,0,0,0.5294117647058824,extraordinary
1,Malgosia,2021-03-10,docx,cctv cameras.docx,260,16,0,0,20,0,0,0,0.8,disadvantages
2,Malgosia,2021-04-16,docx,classwork 2.docx,247,24,0,0,1,0,0,0,24.0,anniversary
3,Malgosia,2021-04-19,docx,covering letter.docx,222,9,0,0,16,1,0,0,0.5625,communicating
4,Malgosia,2023-12-18,docx,definiowanie_problemu.docx,114,7,0,0,17,15,2,0,0.4117647058823529,autobusów/tramwajów
5,Malgosia,2021-11-21,docx,idealisci rozprawka.docx,394,25,0,0,33,3,0,0,0.7575757575757576,Nieprzystosowani
6,Malgosia,2021-04-09,docx,Izabela Łęcka.docx,1052,113,13,5,91,16,2,18,2.7560975609756095,nadzwyczajnego?
7,Malgosia,2022-02-03,docx,JAK ŻYJĄ PAŃSTWO HURLECCY.docx,308,40,2,7,9,2,2,1,-20.0,pieszczotliwość
8,Malgosia,2020-05-04,docx,JAN CHRYZOSTOM PASEK.docx,125,6,0,0,3,1,4,0,2.0,powieściopisarzy
9,Malgosia,2021-04-12,docx,JULIAN OCHOCKI.docx,673,73,0,0,25,4,4,1,2.92,matrymonialnych
10,Malgosia,2021-05-18,docx,KAMIZELKA.docx,505,49,0,0,37,0,2,0,1.3243243243243243,drobnomieszczańskiej
11,Malgosia,2021-04-13,docx,KASIA HOPFER.docx,3734,370,51,40,167,0,19,10,4.868421052631579,rozgorączkowanego…
12,Malgosia,2023-12-18,docx,Konspekt.docx,223,12,0,0,20,0,8,0,0.6,przetrzymywaniem
13,Malgosia,2021-01-25,docx,kordian.docx,115,6,0,0,8,1,0,0,0.75,zainteresowanie
14,Malgosia,2023-12-18,docx,KRP WYWIAD.docx,143,8,0,0,0,14,8,0,,częstotliwością
15,Malgosia,2021-02-15,docx,kult wielkiego człowieka.docx,399,33,0,0,29,2,0,0,1.1379310344827587,Bohaterów-indywidualistów
16,Malgosia,2020-03-24,docx,Lady Makbet.docx,313,15,0,0,24,1,1,0,0.625,Najzajadlejsze
17,Malgosia,2022-01-02,docx,LALKA by Bolesław Prus.docx,14830,1542,56,41,724,53,43,32,2.4830917874396135,kolonialno-galanteryjno-mydlarskiego
18,Malgosia,2021-02-12,docx,listangielski.docx,261,9,0,0,15,2,0,0,0.6,dissatisfaction
19,Malgosia,2022-03-09,docx,listdowladz.docx,241,4,0,0,17,0,0,0,0.23529411764705882,infrastructure
20,Malgosia,2021-11-16,docx,ludzie bezdomni.docx,68,4,0,0,5,1,0,0,0.8,zamieszkiwany
21,Malgosia,2021-11-16,docx,ludzie bezdomni1.docx,113,5,0,0,7,2,1,0,0.7142857142857143,wykorzystywanie
22,Malgosia,2020-12-18,docx,MATEMATYKA W MUZYCE.docx,433,36,0,1,22,6,4,0,1.7142857142857142,przekształceniem
23,Malgosia,2021-05-13,docx,matura2021.docx,414,36,0,0,18,9,5,0,2.0,niedogodności
24,Malgosia,2021-05-16,docx,MENDEL GDAŃSKI.docx,541,59,8,7,24,0,1,0,6.555555555555555,dziesięcioletniego
25,Malgosia,2021-09-16,docx,MODERNIZM SPRAWDZIAN.docx,2048,262,16,26,131,18,10,23,5.574468085106383,Wielokropki-niepewność
26,Malgosia,2021-02-24,docx,my i wy.docx,1065,122,17,4,63,16,3,2,3.210526315789474,rozpamiętywaniu
27,Malgosia,2021-03-13,docx,Nad Niemnem bunt.docx,577,48,0,0,27,7,4,0,1.7777777777777777,przedstawicielem
28,Malgosia,2021-03-08,docx,nad niemnem.docx,1305,139,6,2,76,18,2,8,2.316666666666667,najszczególniejszych
29,Malgosia,2022-01-09,docx,niemiecki.docx,99,2,0,0,10,0,0,0,0.2,Weihnachtsabend
30,Malgosia,2021-04-08,docx,niemiecki1.docx,63,2,3,0,7,0,0,0,0.5,Lieblingsjahreszeit?
31,Malgosia,2021-01-21,docx,O podróżowaniu L. Kołakowski-czytanie ze zrozumieniem — kopia.docx,1544,209,15,0,59,5,7,2,4.75,zdradzają/zmieniają
32,Malgosia,2022-01-11,docx,OBRAZ STAROŚCI.docx,404,34,0,0,3,2,1,0,11.333333333333334,nieuchronnością
33,Malgosia,2020-03-28,docx,PABLO PICASSO.docx,252,14,0,0,20,4,1,0,0.7,monochromatycznej
34,Malgosia,2023-12-18,docx,POPRAWIĆ TYTUŁY.docx,244,14,0,0,16,1,0,4,0.875,Chrysanthemums
35,Malgosia,2021-02-18,docx,pozytywizm.docx,206,15,0,1,11,4,3,0,1.5,przeciwieństwem
36,Malgosia,2021-05-20,docx,pozytywizmrozprawkja.docx,328,23,0,0,26,0,0,0,0.8846153846153846,przedstawiciele
37,Malgosia,2020-06-01,docx,Prawo do edukacji.docx,201,14,0,0,18,0,0,0,0.7777777777777778,wykwalifikowanych
38,Malgosia,2021-04-28,docx,prus czytanie.docx,98,11,0,0,4,0,0,0,2.75,indywidualizacja
39,Malgosia,2021-02-13,docx,romantyzm.docx,709,65,2,1,44,10,7,1,1.6666666666666667,Polskiego)-niezdolni
40,Malgosia,2021-02-21,docx,ROMANTYZMg.docx,287,24,0,0,1,29,11,0,24.0,(zainteresowanie
41,Malgosia,2022-03-24,docx,rozprawka 12.docx,242,9,0,0,15,1,0,0,0.6,administration
42,Malgosia,2021-05-20,docx,rozprawka angielski.docx,258,9,0,0,16,2,0,0,0.5625,disagreements
43,Malgosia,2020-05-18,docx,rozprawka polski.docx,416,22,0,0,36,1,0,0,0.6111111111111112,splendece/Pogasną
44,Malgosia,2021-12-15,docx,rozprawka sport.docx,246,9,0,0,17,2,0,0,0.5294117647058824,underqualified
45,Malgosia,2020-11-18,docx,rozprawka.docx,594,35,0,0,49,10,0,0,0.7142857142857143,nieprzewidywalność
46,Malgosia,2021-02-17,docx,rozprawkarom.docx,11782,1179,6,43,789,130,57,15,1.6195054945054945,przegraną!!!!!!!!!!!!!!!!!!!!!!!
47,Malgosia,2021-02-18,docx,rozprawkazromantyzmu.docx,612,50,0,0,44,1,0,0,1.1363636363636365,przemieszczenie
48,Malgosia,2022-02-04,docx,SILENT SOCIETY.docx,238,13,0,0,17,2,0,0,0.7647058823529411,inconceivable
49,Malgosia,2021-02-23,docx,SPRAWDZIAN. z angielskiego.docx,240,1,2,0,4,0,0,0,0.5,manufactured?
50,Malgosia,2021-02-22,docx,sprawdzian.docx,294,37,0,0,13,12,0,0,2.8461538461538463,przygotowanie(diabły)
51,Malgosia,2023-12-18,docx,Sprawozdanie.docx,1202,76,1,0,71,7,22,0,1.0857142857142856,niedokładnością
52,Malgosia,2021-03-29,docx,stwokul.docx,1521,178,2,10,146,7,13,33,2.5428571428571427,siedemdziesiątego”
53,Malgosia,2021-02-25,docx,sztuka.docx,574,48,0,0,49,7,2,0,0.9795918367346939,pozytywistyczni
54,Malgosia,2021-09-12,docx,TEENS IN SHOPPING MALLS.docx,244,12,1,0,14,1,0,0,0.9230769230769231,acquaintances
55,Malgosia,2023-12-18,docx,tekst_na_plakat.docx,230,11,0,0,12,4,0,2,0.9166666666666666,coffee-producing
56,Malgosia,2020-05-18,docx,teoria rozbitych okien.docx,384,34,0,0,28,0,1,0,1.2142857142857142,nieodpowiedzialnego
57,Malgosia,2021-11-20,docx,top 10 films.docx,238,7,0,0,19,4,0,0,0.3684210526315789,thought-provoking
58,Malgosia,2023-12-18,docx,Tytuł mojej prezentacji brzmi.docx,645,45,0,0,40,5,5,1,1.125,nieanglojęzycznego
59,Malgosia,2022-01-09,docx,uyutyr.docx,1301,104,6,2,99,14,4,0,1.1428571428571428,niebezpieczeństwo
60,Malgosia,2021-02-25,docx,w-f.docx,484,33,1,0,25,12,2,0,1.375,https//wwwyoutubecom/watch?v=QVtu0-YT7ek
61,Malgosia,2021-10-12,docx,WORLD IS TOO SMALL FOR ALL THE TOURISTS.docx,264,9,1,0,18,3,1,0,0.5294117647058824,‘Holidaymakers
62,Malgosia,2020-04-27,docx,WOSS.docx,223,26,0,0,16,0,0,0,1.625,prawdopodobieństwo
63,Malgosia,2021-10-17,docx,wypracowanie angielski turystyka.docx,260,9,1,0,18,3,1,0,0.5294117647058824,‘Holidaymakers
64,Malgosia,2021-12-12,docx,Zbrodnia i kara.docx,6619,752,1,6,277,15,7,0,2.785185185185185,przestępstwa)Według
65,Malgosia,2020-11-23,docx,Zośka i Tadeusz.docx,153,12,0,1,15,1,0,0,0.8571428571428571,niewyobrażalną
